edges__source,edges__strength,edges__target
41704,0.319473648,104818
41704,0.350274586,104819
41704,0.344522042,116305
41704,0.397441985,157310
41704,0.397441985,42009
41704,0.425325709,42202
42001,0.347793268,42007
42001,0.31820881,42008
42001,0.342658037,116109
42001,0.33802596,116305
42001,0.31820881,136910
42001,0.31820881,137010
42001,0.31469856,168544
42001,0.410919461,42005
63401,0.322828512,157310
104819,0.374837818,104821
104819,0.326532245,116108
104819,0.374837818,116204
104819,0.350274586,136810
104819,0.350274586,157308
104819,0.304394958,157404
104819,0.343642164,157602
104819,0.400246023,157604
104819,0.444448889,116203
104819,0.539769396,157310
116305,0.31152026,209404
157310,0.349174628,168544
157310,0.322828512,178716
157310,0.40495405,209406
157310,0.5625,157604
41803,0.398893296,41805
41803,0.468143324,41804
42007,0.347793268,42008
42007,0.394270968,42009
42007,0.322135705,42104
42007,0.322135705,42105
42007,0.31152026,42202
42007,0.353537268,63402
42007,0.353537268,73921
42007,0.322135705,104808
42007,0.335183103,104818
42007,0.31820881,137010
42007,0.40495405,157310
42007,0.386411424,42106
42007,0.410919461,157604
42104,0.31152026,42202
42104,0.308646914,63209
42104,0.340273889,63402
42104,0.308646914,73917
42104,0.308646914,73921
42104,0.340273889,104808
42104,0.366339668,104818
42104,0.326532245,104819
42104,0.349174628,157310
42104,0.347793268,157604
42104,0.408180432,42106
157604,0.347793268,157616
157604,0.347793268,168418
157604,0.371807258,168544
157604,0.31820881,178716
157604,0.444448889,209406
41904,0.308646914,42103
41904,0.312279792,42309
41904,0.31640625,42102
41904,0.31640625,63209
42009,0.31152026,42106
42009,0.365601623,42202
42009,0.349174628,157310
42009,0.349174628,63401
73917,0.40495405,73921
73917,0.337154423,73922
73917,0.346026298,73925
73917,0.305399917,104818
73917,0.335183103,136810
73917,0.326532245,157309
73917,0.390625,157616
73917,0.31640625,178716
73923,0.31769005,116203
73923,0.428435703,157310
73923,0.343642164,157404
73923,0.502808628,104819
73923,0.428435703,104821
73923,0.385256076,157602
137010,0.349174628,157310
137010,0.31820881,209404
137010,0.354310658,157308
168544,0.31469856,209403
168544,0.342658037,209406
116114,0.335183103,116115
116114,0.366339668,116202
116114,0.369469466,116203
116114,0.425325709,116204
116114,0.468143324,116205
116114,0.468143324,116206
116114,0.504852881,116207
116114,0.432819252,116208
116114,0.366339668,116209
116114,0.305399917,116210
116114,0.542933186,116211
116114,0.366339668,116212
116114,0.335183103,126405
116114,0.305399917,126406
116114,0.468143324,116117
116114,0.432819252,116217
116202,0.393693503,116203
116202,0.514648412,116204
116202,0.353537268,116205
116202,0.353537268,116207
116202,0.386411424,116208
116202,0.532505873,116211
116202,0.322135705,116212
116202,0.353537268,116304
116202,0.353537268,126403
116202,0.456543462,126405
116202,0.420746823,126406
116202,0.366339668,136810
116202,0.326532245,157308
116202,0.31469856,168544
116202,0.322135705,209403
116202,0.322135705,209404
116202,0.572685698,116206
116202,0.353537268,136910
63506,0.331499578,73921
63506,0.343642164,104707
63506,0.340273889,136806
63506,0.390625,63823
115602,0.304394958,157325
115602,0.340273889,168474
42402,0.350274586,104819
157308,0.444448889,157309
157308,0.464878512,157310
157308,0.354310658,157325
157308,0.326532245,157326
157308,0.383222903,157604
157308,0.354310658,157616
157308,0.354310658,178716
157308,0.383222903,209403
157308,0.47676263,209406
157308,0.41326898,168544
157308,0.326532245,209404
157404,0.60195874,157602
157217,0.331499578,157314
157217,0.331499578,157616
168432,0.332836686,168474
168432,0.326532245,168546
168432,0.332836686,178607
168432,0.31640625,178716
168432,0.321114889,209403
209403,0.347793268,209406
62903,0.326532245,62912
62903,0.346026298,62914
62903,0.326532245,62930
62903,0.326532245,63701
62903,0.444448889,62916
62912,0.326532245,62932
62912,0.326532245,63403
62912,0.25,178713
62914,0.308646914,62923
62914,0.346026298,62932
62914,0.498266574,63215
62914,0.346026298,73908
