nodes__y,nodes__x,nodes__id
2813.856063,2567.33728,42204
2798.677246,2224.986694,10504
2725.36792,1662.441528,10207
2726.455322,2131.250488,10208
2893.301025,2206.725098,10301
2865.513672,2070.769897,20604
2818.118896,2222.940186,42301
2883.618896,2106.999756,10306
2902.010376,2087.365967,20904
2893.585205,2156.906494,41605
2919.396867,2124.818604,52501
2582.66394,2395.734253,10402
2651.464355,2403.812622,42403
2685.10083,2051.637939,10405
2724.017944,2158.147217,63507
2764.624756,2051.672607,178902
2226.476563,2177.997925,10407
2111.055786,2585.086792,10409
2840.509277,2059.967041,20601
2856.871688,2635.529297,20602
2114.573464,2821.216242,20603
2121.494341,2783.980769,31511
2854.925888,2430.688232,20701
2826.088241,2450.196045,52515
2879.115585,2412.226807,115705
2792.333496,2594.316544,20706
2858.130722,2600.459229,20707
2676.449325,2475.908936,20713
2742.173759,2638.078369,20705
2710.887313,2583.239014,20809
2782.363037,2655.423165,31507
2716.818604,2648.782996,31509
2568.604492,2508.746948,20708
2601.018555,2500.561646,20810
2596.828613,2534.856758,20710
2945.70588,1996.90332,20714
2926.215157,2042.223145,20803
2268.223877,2793.402566,20801
2239.5896,2804.609619,41801
2301.606201,2782.286887,94602
2656.276123,2370.954712,20802
2672.67981,2388.158813,52520
2621.545898,2352.040527,84102
2914.831368,2070.738281,20901
2869.992294,2532.403564,20805
2755.580184,2488.29834,42002
2812.906112,2501.113037,52607
2722.340682,2461.070801,219706
2648.604614,2515.213135,21209
2626.612724,2854.151542,20902
2588.22454,2841.551689,21202
2762.055176,2011.548157,21001
2721.421143,2014.315735,21003
2668.867432,2279.384033,21005
2590.788086,2302.054688,21206
2591.809746,2871.535087,21006
2152.055701,2472.282227,42302
2602.416504,2146.312012,21103
2536.294922,2411.448853,21104
2591.666504,2414.508423,63301
2544.311768,1985.333147,21107
2605.936523,1487.642212,21201
2574.683105,1485.97522,42304
2643.900566,2832.671562,21212
2550.888077,2818.552734,115201
2660.876221,2303.30603,31512
2645.67334,2320.528198,63603
2161.522705,2441.568237,21207
2832.211983,2674.900635,21208
1951.071899,1270.380371,21214
2007.030579,1264.896362,104809
2595.88623,2177.771606,21302
2916.596818,2180.265975,31504
2151.529031,2767.933506,31513
2201.920654,2778.712202,74001
2688.954834,2664.795532,31515
2745.952637,2687.804932,52505
2599.004517,2437.892334,31516
2535.206299,2433.598389,31517
2854.755649,1370.461687,31518
2804.771274,1359.170183,178714
2348.176514,1131.030182,31519
2309.258301,1141.496247,31520
2325.475586,1179.396881,63802
2300.064697,1118.662018,63806
2208.906181,2518.120781,41701
2707.446533,1827.02417,41702
2203.056396,2813.573364,41804
2409.439475,2840.733799,41902
2448.612549,2794.19802,73924
2780.038192,2469.657227,136802
2337.356445,1104.300202,42003
2560.859375,2545.725342,42401
2257.578125,2378.238647,42101
2557.778076,2090.700195,42201
2574.993425,2079.052246,42203
2579.537354,1936.735474,42207
2560.000244,1938.339661,42208
2692.294439,2774.691018,42303
2679.103271,2740.043526,115703
2092.772079,2249.046562,42306
2047.106254,2273.367676,63102
2139.920044,2240.355835,157801
2569.421387,2226.585938,63105
2591.587891,2238.145508,73915
2027.151802,2478.974923,52503
2049.028145,2388.922119,52711
1991.380371,1103.607544,52507
2706.487305,1952.836182,52508
2742.784424,1949.017944,62904
2671.763672,1947.00647,136813
1859.749739,1984.830444,52510
1874.613142,2031.376221,62809
2239.960804,2118.4375,52516
2595.446533,2369.449829,52517
2923.954868,1355.816667,52519
2891.814487,1347.852068,157227
1942.219971,1769.01123,52529
1944.329712,1817.192139,147106
2479.014648,1375.827271,52530
2449.441406,1369.862549,168437
2266.093994,1031.960144,52601
2274.364258,1065.740082,157203
2428.726563,1067.589966,52602
2417.33252,1040.414559,52612
2442.056885,1090.3078,158105
1841.779507,2130.894792,52603
1836.979231,2164.733154,52616
1868.649014,2102.867482,157403
2390.459717,1071.398315,52604
2371.194336,1038.806274,157501
2426.571777,1112.456909,157502
2483.484863,1048.689209,52605
2831.419678,1782.179688,52606
2760.13501,1748.726196,62818
2866.679061,2494.112061,52608
2100.604858,1465.077515,52610
2133.574951,1462.271912,52614
2388.141602,1106.067017,52613
2398.62915,1147.588013,62844
2109.73877,1490.503662,52615
2157.51416,1450.97583,157218
2729.089844,1913.394043,52620
2670.442139,1909.756775,157606
2808.663574,1817.725281,52701
2694.596558,1754.198608,52704
2078.98291,1529.641113,52703
2021.236511,1534.226807,63104
2128.384277,1524.943481,84301
2196.167167,2186.704452,52707
2208.140556,2151.965088,178702
2167.857666,1952.20424,52708
1920.24749,2320.107003,52709
2029.691703,2307.054688,62814
1964.104232,2258.973075,52710
2019.865967,1572.573853,52712
2077.129028,1563.434937,157206
1967.029441,2087.076128,52713
1936.383773,2046.923759,73901
